"","Estudiante","nodos","aristas","densidad","diametro","long.med.cam","grado_medio","modularidad","coeficiente_cluster","Dropout"
"1","E0001",60,88,0.02,8,3.34,2.93,0.72,0,0
"2","E00010",60,31,0.01,4,1.96,1.03,0.79,0,0
"3","E000105",60,0,0,0,NA,0,0,NA,1
"4","E000106",60,52,0.01,4,2.02,1.73,0.81,0,0
"5","E000109",60,19,0.01,2,1.33,0.63,0.81,0,1
"6","E000111",60,62,0.02,8,2.73,2.07,0.74,0,1
"7","E000114",60,61,0.02,8,2.91,2.03,0.78,0,0
"8","E000115",60,26,0.01,2,1.27,0.87,0.82,0,0
"9","E000117",60,9,0,1,1,0.3,0.79,NA,0
"10","E000120",60,9,0,1,1,0.3,0.72,NA,1
"11","E000122",60,56,0.02,11,3.27,1.87,0.77,0,1
"12","E000123",60,65,0.02,11,3.27,2.17,0.76,0,0
"13","E000125",60,12,0,0,NA,0.4,0.62,NA,1
"14","E000126",60,13,0,2,1.33,0.43,0.73,0,0
"15","E000127",60,49,0.01,5,1.98,1.63,0.71,0,1
"16","E000129",60,47,0.01,11,3.18,1.57,0.78,0,1
"17","E000131",60,60,0.02,11,3.97,2,0.8,0,0
"18","E000132",60,12,0,2,1.33,0.4,0.72,0,0
"19","E000133",60,9,0,1,1,0.3,0.69,NA,0
"20","E000134",60,44,0.01,10,3.32,1.47,0.74,0,1
"21","E000135",60,55,0.02,10,3.03,1.83,0.74,0,0
"22","E000136",60,71,0.02,10,3.03,2.37,0.76,0,0
"23","E000137",60,59,0.02,9,3.23,1.97,0.67,0,0
"24","E000139",60,51,0.01,11,3.35,1.7,0.76,0,0
"25","E00014",60,49,0.01,9,2.86,1.63,0.83,0,0
"26","E000140",60,11,0,2,1.33,0.37,0.73,0,1
"27","E000141",60,53,0.01,9,2.89,1.77,0.79,0,0
"28","E000142",60,4,0,0,NA,0.13,0.5,NA,0
"29","E000147",60,28,0.01,4,1.76,0.93,0.73,0,0
"30","E000153",60,51,0.01,9,2.92,1.7,0.78,0,0
"31","E000157",60,14,0,2,1.2,0.47,0.77,0,0
"32","E000159",60,19,0.01,2,1.25,0.63,0.79,0,1
"33","E00016",60,67,0.02,11,3.27,2.23,0.76,0,0
"34","E000163",60,0,0,0,NA,0,0,NA,0
"35","E000166",60,13,0,0,NA,0.43,0.73,NA,1
"36","E000168",60,6,0,0,NA,0.2,0.67,NA,0
"37","E000171",60,56,0.02,8,3.18,1.87,0.76,0,0
"38","E000173",60,49,0.01,10,3.14,1.63,0.75,0,1
"39","E000174",60,7,0,1,1,0.23,0.57,NA,0
"40","E000175",60,40,0.01,10,3.2,1.33,0.75,0,1
"41","E000176",60,5,0,1,1,0.17,0.8,NA,1
"42","E000177",60,49,0.01,4,1.86,1.63,0.71,0,0
"43","E000179",60,13,0,2,1.33,0.43,0.78,0,0
"44","E000181",60,58,0.02,11,3.23,1.93,0.78,0,1
"45","E000188",60,9,0,1,1,0.3,0.77,NA,0
"46","E000189",60,56,0.02,8,2.8,1.87,0.77,0,0
"47","E00019",60,13,0,2,1.25,0.43,0.63,0,0
"48","E000192",60,41,0.01,10,2.92,1.37,0.77,0,1
"49","E000193",60,27,0.01,5,2,0.9,0.76,0,1
"50","E000194",60,15,0,2,1.31,0.5,0.73,0,0
"51","E000195",60,14,0,2,1.27,0.47,0.81,0,0
"52","E000198",60,2,0,0,NA,0.07,0,NA,0
"53","E000199",60,53,0.01,6,2.39,1.77,0.8,0,0
"54","E00020",60,52,0.01,4,1.98,1.73,0.76,0,0
"55","E000200",60,19,0.01,2,1.29,0.63,0.82,0,0
"56","E000203",60,16,0,4,1.52,0.53,0.73,0,1
"57","E000205",60,53,0.01,11,3.25,1.77,0.78,0,1
"58","E000206",60,51,0.01,8,2.79,1.7,0.8,0,0
"59","E00021",60,41,0.01,6,2.25,1.37,0.79,0,0
"60","E000210",60,41,0.01,10,2.96,1.37,0.77,0,1
"61","E000213",60,64,0.02,9,2.9,2.13,0.79,0,0
"62","E000214",60,5,0,1,1,0.17,0.64,NA,1
"63","E00022",60,57,0.02,4,1.94,1.9,0.79,0,0
"64","E000223",60,2,0,0,NA,0.07,0,NA,0
"65","E000225",60,35,0.01,8,2.79,1.17,0.76,0,0
"66","E000226",60,14,0,2,1.11,0.47,0.83,0,1
"67","E000227",60,28,0.01,2,1.2,0.93,0.89,0,0
"68","E000228",60,16,0,2,1.2,0.53,0.77,0,0
"69","E000230",60,14,0,0,NA,0.47,0.73,NA,0
"70","E000232",60,6,0,0,NA,0.2,0.67,NA,0
"71","E000237",60,1,0,1,1,0.03,-0.5,NA,0
"72","E000238",60,0,0,0,NA,0,0,NA,0
"73","E000239",60,24,0.01,2,1.33,0.8,0.6,0,0
"74","E000240",60,49,0.01,4,1.83,1.63,0.73,0,0
"75","E000242",60,6,0,0,NA,0.2,0.67,NA,0
"76","E000244",60,6,0,0,NA,0.2,0.67,NA,0
"77","E000246",60,24,0.01,4,1.93,0.8,0.75,0,0
"78","E000248",60,48,0.01,8,2.67,1.6,0.8,0,0
"79","E000249",60,8,0,2,1.33,0.27,0.62,0,1
"80","E000250",60,6,0,2,1.33,0.2,0.67,0,1
"81","E000252",60,4,0,0,NA,0.13,0.5,NA,0
"82","E000258",60,46,0.01,11,3.46,1.53,0.81,0,0
"83","E000259",60,64,0.02,10,3.2,2.13,0.72,0,0
"84","E000260",60,12,0,2,1.33,0.4,0.83,0,0
"85","E000264",60,8,0,2,1.33,0.27,0.75,0,0
"86","E000265",60,38,0.01,4,2.05,1.27,0.78,0,0
"87","E000267",60,40,0.01,10,2.92,1.33,0.75,0,1
"88","E000269",60,55,0.02,10,3.27,1.83,0.72,0,1
"89","E00027",60,10,0,1,1,0.33,0.74,NA,0
"90","E000270",60,7,0,2,1.25,0.23,0.49,0,1
"91","E000271",60,36,0.01,4,1.96,1.2,0.78,0,0
"92","E000274",60,52,0.01,4,1.94,1.73,0.83,0,0
"93","E000276",60,55,0.02,11,3.58,1.83,0.78,0,0
"94","E000278",60,64,0.02,10,3.08,2.13,0.77,0,0
"95","E000284",60,13,0,2,1.31,0.43,0.66,0,0
"96","E000285",60,33,0.01,2,1.27,1.1,0.79,0,0
"97","E000290",60,6,0,1,1,0.2,0.61,NA,0
"98","E000291",60,41,0.01,8,2.79,1.37,0.77,0,0
"99","E000294",60,11,0,2,1.33,0.37,0.73,0,0
"100","E000296",60,48,0.01,11,3.85,1.6,0.73,0,1
"101","E000297",60,0,0,0,NA,0,0,NA,0
"102","E0003",60,17,0,1,1,0.57,0.8,NA,0
"103","E000300",60,21,0.01,4,1.65,0.7,0.52,0,1
"104","E000302",60,46,0.01,9,3.21,1.53,0.76,0,1
"105","E000304",60,27,0.01,2,1.33,0.9,0.66,0,0
"106","E000305",60,12,0,1,1,0.4,0.79,NA,0
"107","E000309",60,28,0.01,3,1.59,0.93,0.69,0,1
"108","E000310",60,6,0,1,1,0.2,0.61,NA,1
"109","E000311",60,7,0,1,1,0.23,0.65,NA,0
"110","E000312",60,23,0.01,4,2,0.77,0.57,0,0
"111","E000315",60,72,0.02,11,3.58,2.4,0.73,0,0
"112","E000319",60,36,0.01,5,1.91,1.2,0.78,0,1
"113","E00032",60,32,0.01,2,1.31,1.07,0.82,0,0
"114","E000321",60,43,0.01,10,3.17,1.43,0.7,0,0
"115","E000322",60,33,0.01,3,1.41,1.1,0.87,0,0
"116","E000323",60,10,0,0,NA,0.33,0.64,NA,0
"117","E000324",60,49,0.01,4,1.71,1.63,0.81,0,0
"118","E000326",60,13,0,5,2.03,0.43,0.61,0,1
"119","E000327",60,48,0.01,11,3.85,1.6,0.75,0,1
"120","E000328",60,37,0.01,6,2.21,1.23,0.76,0,1
"121","E000329",60,8,0,1,1,0.27,0.59,NA,0
"122","E000330",60,10,0,1,1,0.33,0.74,NA,0
"123","E000331",60,15,0,2,1.33,0.5,0.83,0,0
"124","E000332",60,47,0.01,5,2.07,1.57,0.81,0,0
"125","E000333",60,54,0.02,4,1.81,1.8,0.79,0,0
"126","E000337",60,9,0,1,1,0.3,0.69,NA,1
"127","E000339",60,59,0.02,6,2.23,1.97,0.7,0,0
"128","E00034",60,55,0.02,11,3.37,1.83,0.73,0,1
"129","E000340",60,13,0,2,1.33,0.43,0.72,0,0
"130","E000342",60,4,0,2,1.33,0.13,0.5,0,0
"131","E000343",60,68,0.02,10,3.23,2.27,0.75,0,0
"132","E000347",60,62,0.02,8,2.62,2.07,0.78,0,0
"133","E000352",60,23,0.01,4,1.68,0.77,0.82,0,0
"134","E000355",60,17,0,1,1,0.57,0.78,NA,1
"135","E000361",60,11,0,2,1.17,0.37,0.78,0,0
"136","E000362",60,54,0.02,8,2.9,1.8,0.82,0,0
"137","E000363",60,18,0.01,0,NA,0.6,0.81,NA,0
"138","E00037",60,58,0.02,8,2.83,1.93,0.79,0,0
"139","E000370",60,42,0.01,6,2.09,1.4,0.8,0,0
"140","E000377",60,7,0,0,NA,0.23,0.65,NA,0
"141","E000378",60,6,0,0,NA,0.2,0.5,NA,0
"142","E000379",60,64,0.02,8,2.76,2.13,0.73,0,0
"143","E000381",60,20,0.01,2,1.3,0.67,0.73,0,1
"144","E000382",60,32,0.01,8,2.7,1.07,0.68,0,1
"145","E000383",60,35,0.01,6,2.11,1.17,0.77,0,1
"146","E000385",60,11,0,0,NA,0.37,0.73,NA,1
"147","E000386",60,56,0.02,10,2.95,1.87,0.7,0,1
"148","E000390",60,50,0.01,8,2.79,1.67,0.79,0,0
"149","E000391",60,22,0.01,4,1.68,0.73,0.76,0,0
"150","E000392",60,61,0.02,11,3.28,2.03,0.79,0,0
"151","E000393",60,64,0.02,11,3.3,2.13,0.75,0,0
"152","E000395",60,65,0.02,11,3.39,2.17,0.77,0,0
"153","E000396",60,10,0,2,1.25,0.33,0.78,0,0
"154","E000397",60,11,0,2,1.31,0.37,0.69,0,0
"155","E000404",60,29,0.01,4,1.74,0.97,0.73,0,0
"156","E000406",60,4,0,0,NA,0.13,0.5,NA,1
"157","E000415",60,68,0.02,8,3.04,2.27,0.77,0,1
"158","E000417",60,45,0.01,4,2,1.5,0.8,0,0
"159","E000418",60,22,0.01,2,1.33,0.73,0.8,0,0
"160","E00042",60,8,0,1,1,0.27,0.72,NA,0
"161","E000420",60,52,0.01,10,3.03,1.73,0.75,0,1
"162","E000424",60,8,0,1,1,0.27,0.72,NA,0
"163","E000425",60,58,0.02,9,3.12,1.93,0.76,0,1
"164","E000426",60,44,0.01,5,1.69,1.47,0.84,0,1
"165","E000427",60,67,0.02,8,2.43,2.23,0.8,0,1
"166","E000429",60,1,0,1,1,0.03,-0.5,NA,1
"167","E00043",60,10,0,1,1,0.33,0.74,NA,0
"168","E000432",60,50,0.01,4,1.95,1.67,0.86,0,0
"169","E000433",60,14,0,1,1,0.47,0.78,NA,0
"170","E000435",60,15,0,5,2.03,0.5,0.62,0,1
"171","E000437",60,5,0,1,1,0.17,0.64,NA,1
"172","E000439",60,36,0.01,8,2.77,1.2,0.77,0,0
"173","E00044",60,51,0.01,4,1.83,1.7,0.79,0,0
"174","E000440",60,13,0,1,1,0.43,0.73,NA,0
"175","E000444",60,15,0,2,1.25,0.5,0.81,0,0
"176","E000450",60,8,0,0,NA,0.27,0.66,NA,0
"177","E000452",60,25,0.01,5,1.97,0.83,0.84,0,0
"178","E000454",60,71,0.02,8,2.94,2.37,0.81,0,0
"179","E000457",60,11,0,0,NA,0.37,0.74,NA,0
"180","E000459",60,50,0.01,7,2.65,1.67,0.75,0,0
"181","E000461",60,69,0.02,9,3.11,2.3,0.77,0,0
"182","E000462",60,44,0.01,4,1.83,1.47,0.77,0,0
"183","E000464",60,16,0,2,1.25,0.53,0.8,0,0
"184","E000471",60,45,0.01,11,3.12,1.5,0.78,0,1
"185","E000472",60,41,0.01,10,2.96,1.37,0.77,0,1
"186","E000474",60,36,0.01,8,2.77,1.2,0.77,0,0
"187","E000475",60,58,0.02,11,3.21,1.93,0.78,0,1
"188","E000480",60,10,0,2,1.33,0.33,0.64,0,0
"189","E000483",60,65,0.02,8,3.22,2.17,0.78,0,0
"190","E000484",60,9,0,0,NA,0.3,0.67,NA,0
"191","E000491",60,5,0,0,NA,0.17,0.48,NA,1
"192","E000494",60,17,0,2,1.33,0.57,0.79,0,0
"193","E000496",60,17,0,0,NA,0.57,0.77,NA,0
"194","E000497",60,49,0.01,10,3.11,1.63,0.74,0,1
"195","E000498",60,14,0,2,1.29,0.47,0.83,0,0
"196","E00050",60,11,0,2,1.12,0.37,0.83,0,1
"197","E000504",60,28,0.01,6,2.04,0.93,0.77,0,1
"198","E000505",60,16,0,4,1.52,0.53,0.75,0,1
"199","E000508",60,67,0.02,11,3.5,2.23,0.76,0,0
"200","E000509",60,0,0,0,NA,0,0,NA,1
"201","E00051",60,48,0.01,10,3.46,1.6,0.74,0,1
"202","E000514",60,29,0.01,4,1.79,0.97,0.76,0,1
"203","E000517",60,42,0.01,10,3.04,1.4,0.76,0,1
"204","E00052",60,19,0.01,4,1.75,0.63,0.68,0,1
"205","E000521",60,10,0,0,NA,0.33,0.66,NA,0
"206","E000529",60,2,0,0,NA,0.07,0,NA,0
"207","E000531",60,52,0.01,10,3.36,1.73,0.74,0,1
"208","E000535",60,11,0,2,1.31,0.37,0.69,0,1
"209","E000538",60,49,0.01,8,2.36,1.63,0.78,0,0
"210","E00054",60,47,0.01,8,2.7,1.57,0.81,0,0
"211","E000540",60,36,0.01,8,2.8,1.2,0.75,0,1
"212","E000541",60,3,0,1,1,0.1,0.44,NA,0
"213","E000544",60,7,0,0,NA,0.23,0.65,NA,0
"214","E000548",60,7,0,2,1.25,0.23,0.57,0,1
"215","E000549",60,43,0.01,8,2.74,1.43,0.75,0,0
"216","E00055",60,6,0,0,NA,0.2,0.67,NA,0
"217","E000550",60,55,0.02,11,3.46,1.83,0.8,0,0
"218","E000551",60,48,0.01,8,2.91,1.6,0.81,0,0
"219","E000557",60,2,0,0,NA,0.07,0,NA,1
"220","E000559",60,0,0,0,NA,0,0,NA,0
"221","E000560",60,9,0,1,1,0.3,0.74,NA,0
"222","E000562",60,0,0,0,NA,0,0,NA,0
"223","E000563",60,16,0,2,1.27,0.53,0.76,0,0
"224","E000565",60,7,0,1,1,0.23,0.65,NA,1
"225","E000569",60,57,0.02,11,3.32,1.9,0.74,0,1
"226","E000570",60,62,0.02,9,2.91,2.07,0.79,0,0
"227","E000571",60,30,0.01,8,2.61,1,0.79,0,1
"228","E000572",60,2,0,0,NA,0.07,0,NA,0
"229","E000575",60,37,0.01,4,2.05,1.23,0.78,0,0
"230","E000576",60,7,0,1,1,0.23,0.73,NA,0
"231","E000584",60,51,0.01,4,2.03,1.7,0.82,0,0
"232","E000586",60,8,0,0,NA,0.27,0.66,NA,0
"233","E000587",60,44,0.01,8,2.68,1.47,0.82,0,0
"234","E000589",60,0,0,0,NA,0,0,NA,0
"235","E000590",60,7,0,0,NA,0.23,0.65,NA,0
"236","E000591",60,31,0.01,8,2.56,1.03,0.75,0,1
"237","E000592",60,69,0.02,8,2.77,2.3,0.78,0,0
"238","E000593",60,25,0.01,7,2.34,0.83,0.72,0,1
"239","E000594",60,36,0.01,2,1.33,1.2,0.73,0,0
"240","E0006",60,0,0,0,NA,0,0,NA,0
"241","E000608",60,22,0.01,2,1.29,0.73,0.86,0,0
"242","E00061",60,31,0.01,8,2.56,1.03,0.72,0,1
"243","E000610",60,60,0.02,11,3.5,2,0.77,0,0
"244","E000613",60,35,0.01,8,2.79,1.17,0.76,0,0
"245","E000615",60,59,0.02,11,3.32,1.97,0.75,0,1
"246","E000623",60,15,0,2,1.2,0.5,0.83,0,0
"247","E000630",60,12,0,1,1,0.4,0.76,NA,0
"248","E000631",60,38,0.01,9,2.9,1.27,0.76,0,0
"249","E000632",60,64,0.02,11,3.25,2.13,0.77,0,0
"250","E000638",60,8,0,0,NA,0.27,0.66,NA,1
"251","E000639",60,56,0.02,7,2.43,1.87,0.75,0,1
"252","E000641",60,7,0,0,NA,0.23,0.65,NA,0
"253","E000642",60,2,0,0,NA,0.07,0,NA,1
"254","E000644",60,49,0.01,11,3.39,1.63,0.77,0,0
"255","E000645",60,14,0,1,1,0.47,0.6,NA,0
"256","E000648",60,2,0,2,1.33,0.07,-0.38,0,0
"257","E000650",60,3,0,1,1,0.1,0.44,NA,0
"258","E000652",60,19,0.01,2,1.25,0.63,0.84,0,0
"259","E000654",60,14,0,4,1.65,0.47,0.69,0,0
"260","E000655",60,14,0,2,1.25,0.47,0.72,0,0
"261","E000656",60,32,0.01,9,2.79,1.07,0.76,0,1
"262","E000658",60,2,0,2,1.33,0.07,-0.38,0,1
"263","E000659",60,49,0.01,4,2.05,1.63,0.8,0,0
"264","E000660",60,2,0,2,1.33,0.07,-0.38,0,0
"265","E000662",60,61,0.02,8,2.88,2.03,0.78,0,0
"266","E000667",60,33,0.01,5,1.97,1.1,0.75,0,1
"267","E000668",60,58,0.02,11,3.26,1.93,0.76,0,1
"268","E000669",60,2,0,0,NA,0.07,0,NA,1
"269","E00067",60,2,0,0,NA,0.07,0,NA,0
"270","E000673",60,59,0.02,11,3.36,1.97,0.77,0,0
"271","E000674",60,8,0,1,1,0.27,0.66,NA,0
"272","E00068",60,16,0,2,1.33,0.53,0.77,0,0
"273","E000681",60,1,0,1,1,0.03,-0.5,NA,0
"274","E000682",60,4,0,0,NA,0.13,0.5,NA,0
"275","E000685",60,8,0,0,NA,0.27,0.66,NA,0
"276","E000687",60,48,0.01,8,2.65,1.6,0.8,0,0
"277","E000688",60,15,0,2,1.22,0.5,0.83,0,0
"278","E00069",60,25,0.01,2,1.31,0.83,0.84,0,0
"279","E000692",60,7,0,1,1,0.23,0.78,0,1
"280","E000693",60,7,0,1,1,0.23,0.65,NA,1
"281","E00072",60,17,0,2,1.33,0.57,0.81,0,0
"282","E00073",60,35,0.01,9,2.73,1.17,0.75,0,1
"283","E00074",60,9,0,4,1.79,0.3,0.49,0,1
"284","E00075",60,9,0,2,1.3,0.3,0.49,0,1
"285","E00079",60,68,0.02,11,4.06,2.27,0.79,0,0
"286","E00080",60,35,0.01,6,2.11,1.17,0.77,0,1
"287","E00082",60,52,0.01,4,2.05,1.73,0.77,0,0
"288","E00085",60,35,0.01,9,2.73,1.17,0.75,0,1
"289","E00086",60,35,0.01,7,2.83,1.17,0.73,0,1
"290","E00087",60,39,0.01,7,2.4,1.3,0.72,0,1
"291","E00088",60,42,0.01,8,2.8,1.4,0.78,0,0
"292","E0009",60,21,0.01,5,1.98,0.7,0.72,0,1
"293","E00090",60,37,0.01,10,2.96,1.23,0.73,0,1
"294","E00091",60,2,0,0,NA,0.07,0,NA,0
"295","E00092",60,29,0.01,4,1.84,0.97,0.75,0,1
"296","E00097",60,70,0.02,11,3.27,2.33,0.82,0,0
"297","E00098",60,49,0.01,10,3.19,1.63,0.74,0,1
